City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Nexo,55.0607,15.1306,39.29,95,74,21.34,DK,2022-02-09 02:26:03
68,Annau,37.8876,58.516,29.7,59,5,0.0,TM,2022-02-09 02:26:03
69,Barceloneta,18.4505,-66.5385,76.05,87,5,9.73,PR,2022-02-09 02:26:03
70,Upernavik,72.7868,-56.1549,-16.87,88,81,6.69,GL,2022-02-09 02:26:04
71,Luderitz,-26.6481,15.1594,72.82,66,0,8.97,NA,2022-02-09 02:26:04
72,Lolodorf,3.2333,10.7333,71.89,97,91,2.08,CM,2022-02-09 02:26:04
73,Kununurra,-15.7667,128.7333,91.38,62,69,5.75,AU,2022-02-09 02:26:04
74,Balakhninskiy,58.0106,114.2769,-2.81,96,100,2.24,RU,2022-02-09 02:26:05
75,Avarua,-21.2078,-159.775,78.85,89,75,5.75,CK,2022-02-09 02:26:05
76,Pucallpa,-8.3791,-74.5539,77.04,100,40,0.0,PE,2022-02-09 02:26:05
77,Baillif,16.0202,-61.7463,75.63,77,4,8.68,GP,2022-02-09 02:26:06
78,Honningsvag,70.9821,25.9704,28.76,77,100,27.42,NO,2022-02-09 02:26:06
79,Anaconda,46.1285,-112.9423,37.78,75,100,6.38,US,2022-02-09 02:24:26
80,Qui Nhon,13.7667,109.2333,76.82,85,98,6.35,VN,2022-02-09 02:26:06
81,Yazykovo,55.2199,56.1353,10.99,97,100,4.09,RU,2022-02-09 02:26:07
82,Constitucion,-35.3333,-72.4167,59.65,90,16,14.72,CL,2022-02-09 02:26:07
83,Khasan,42.4308,130.6434,27.48,56,17,2.68,RU,2022-02-09 02:26:07
84,Bluff,-46.6,168.3333,64.8,77,100,10.58,NZ,2022-02-09 02:26:07
85,Abu Kamal,34.4506,40.9171,53.1,42,97,6.89,SY,2022-02-09 02:26:08
86,Puerto Escondido,15.85,-97.0667,76.03,73,75,5.75,MX,2022-02-09 02:26:08
87,Aljezur,37.3191,-8.8033,53.71,86,0,12.39,PT,2022-02-09 02:26:08
88,Kaitangata,-46.2817,169.8464,61.18,82,100,11.48,NZ,2022-02-09 02:26:09
89,Ambon,-3.6954,128.1814,84.34,74,40,3.44,ID,2022-02-09 02:22:36
90,Kuusamo,65.9667,29.1833,23.04,93,100,8.05,FI,2022-02-09 02:26:09
91,Inhapim,-19.5492,-42.12,68.59,98,100,1.9,BR,2022-02-09 02:26:09
92,Hobart,-42.8794,147.3294,83.01,39,40,4.61,AU,2022-02-09 02:24:21
93,Port Alfred,-33.5906,26.891,69.6,88,32,13.04,ZA,2022-02-09 02:26:10
94,Inuvik,68.3499,-133.7218,-37.34,67,20,4.61,CA,2022-02-09 02:26:10
95,Yangambi,0.8102,24.4336,70.23,72,32,1.97,CD,2022-02-09 02:27:10
96,Lorengau,-2.0226,147.2712,83.62,76,93,8.48,PG,2022-02-09 02:27:11
97,Jalu,29.0331,21.5482,50.83,52,5,12.15,LY,2022-02-09 02:27:11
98,Coihaique,-45.5752,-72.0662,58.95,47,0,10.36,CL,2022-02-09 02:23:54
99,Iqaluit,63.7506,-68.5145,-0.31,84,100,6.91,CA,2022-02-09 02:27:11
100,Yellowknife,62.456,-114.3525,-16.71,77,20,4.61,CA,2022-02-09 02:25:23
101,Pore,5.7272,-71.9947,73.31,85,70,1.68,CO,2022-02-09 02:27:12
102,Tianpeng,30.9866,103.9393,39.67,76,9,3.4,CN,2022-02-09 02:27:12
103,Vestmanna,62.1564,-7.1664,36.52,65,75,21.85,FO,2022-02-09 02:27:12
104,Margate,51.3813,1.3862,49.96,82,100,5.99,GB,2022-02-09 02:27:13
105,Burns Lake,54.2331,-125.7533,36.82,96,92,5.77,CA,2022-02-09 02:25:03
106,Cortez,37.3489,-108.5859,39.7,27,0,0.0,US,2022-02-09 02:27:13
107,Butaritari,3.0707,172.7902,82.36,76,96,15.84,KI,2022-02-09 02:27:13
108,Kapaa,22.0752,-159.319,78.78,71,75,8.05,US,2022-02-09 02:27:14
109,Palmer,42.1584,-72.3287,34.2,66,0,21.85,US,2022-02-09 02:27:14
110,Mariental,-24.6333,17.9667,71.31,68,83,3.18,NA,2022-02-09 02:27:14
111,Turbat,26.0023,63.044,63.48,26,0,9.6,PK,2022-02-09 02:27:14
