City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yaan,NG,7.3833,8.5667,80.78,12,1,4.97,clear sky
80,Kautokeino,NO,69.0125,23.0412,19.02,95,100,9.64,overcast clouds
81,Baghdad,IQ,33.3406,44.4009,61.95,31,83,24.0,broken clouds
82,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-15.12,99,100,3.53,overcast clouds
83,Nikolskoye,RU,59.7035,30.7861,35.71,97,100,11.7,snow
84,Yanam,IN,16.7333,82.2167,66.99,83,34,2.89,scattered clouds
85,Viedma,AR,-40.8135,-62.9967,82.04,37,94,6.08,overcast clouds
86,Mehamn,NO,71.0357,27.8492,18.63,87,37,11.36,scattered clouds
87,Sobolevo,RU,54.4299,31.8996,30.06,98,100,12.66,snow
88,Komsomolskiy,UZ,40.4272,71.7189,35.02,74,100,1.14,overcast clouds
89,Ahipara,NZ,-35.1667,173.1667,79.72,67,77,12.39,broken clouds
90,Olavarria,AR,-36.8927,-60.3225,65.52,64,2,8.46,clear sky
91,Frontera,MX,26.9333,-101.45,68.32,20,23,4.0,few clouds
92,Butaritari,KI,3.0707,172.7902,81.72,78,78,13.82,light rain
93,San Andres,CO,12.5847,-81.7006,79.88,68,11,14.47,few clouds
94,Port Keats,AU,-14.25,129.55,83.89,72,56,7.78,broken clouds
95,Yellowknife,CA,62.456,-114.3525,-7.58,87,100,17.27,light snow
96,Adrar,MR,20.5022,-10.0711,64.49,13,1,12.17,clear sky
97,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,74.52,86,99,0.96,overcast clouds
98,Itoman,JP,26.1247,127.6694,66.22,82,75,18.41,broken clouds
99,Ixtapa,MX,20.7,-105.2,74.23,77,1,4.0,clear sky
100,Qaanaaq,GL,77.484,-69.3632,-21.24,74,99,7.34,overcast clouds
101,Ribeira Grande,PT,38.5167,-28.7,59.63,72,0,16.2,clear sky
102,Praya,CV,14.9215,-23.5087,73.94,60,0,11.5,clear sky
103,Batemans Bay,AU,-35.7167,150.1833,90.19,44,8,6.29,clear sky
104,San Juan,AR,-31.5375,-68.5364,88.18,24,23,16.26,few clouds
105,Boguchany,RU,58.3814,97.4531,-25.89,100,55,1.77,broken clouds
106,Steamboat Springs,US,40.485,-106.8317,35.31,63,100,10.36,overcast clouds
107,Saint-Pierre,RE,-21.3393,55.4781,74.88,64,100,5.75,overcast clouds
108,Tuktoyaktuk,CA,69.4541,-133.0374,-17.12,89,100,13.94,overcast clouds
109,Adela,PH,12.4416,120.9729,80.19,65,9,5.88,clear sky
110,Haines Junction,CA,60.7522,-137.5108,37.49,82,33,12.48,scattered clouds
111,Hilo,US,19.7297,-155.09,76.8,81,48,5.99,scattered clouds
112,Castro,BR,-24.7911,-50.0119,61.05,95,9,8.57,clear sky
113,New Norfolk,AU,-42.7826,147.0587,73.92,33,40,7.4,scattered clouds
114,Provideniya,RU,64.3833,-173.3,-2.09,65,0,17.9,clear sky
115,Puerto Ayora,EC,-0.7393,-90.3518,74.32,77,54,8.05,broken clouds
116,La Asuncion,VE,11.0333,-63.8628,89.33,51,14,12.66,few clouds
117,Victoria,HK,22.2855,114.1577,63.32,82,96,8.01,overcast clouds
118,Kaohsiung,TW,22.6163,120.3133,64.35,90,40,3.0,mist
119,Castlemaine,AU,-37.0667,144.2167,70.05,51,86,6.87,overcast clouds
120,Morristown,US,36.214,-83.2949,55.54,35,100,8.05,overcast clouds
121,Thompson,CA,55.7435,-97.8558,-12.12,97,63,2.82,broken clouds
122,Aykhal,RU,66.0,111.5,-6.59,78,100,2.44,overcast clouds
123,Hithadhoo,MV,-0.6,73.0833,81.57,74,59,11.39,broken clouds
