City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
148,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
151,Bara,NG,70.23,scattered clouds,10.3744,10.7288,
153,San Felipe,VE,68.97,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
156,Namibe,AO,72.57,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
158,Tari,NG,73.76,clear sky,12.4086,4.4914,
159,Nam Som,TH,74.41,broken clouds,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
160,Kitgum,UG,74.82,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
165,Guerrero Negro,MX,69.04,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
166,Half Moon Bay,US,76.3,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
168,Namwala,ZM,65.05,overcast clouds,-15.7504,26.4384,Corner Point Lodge
169,George,ZA,67.84,scattered clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
171,Luanda,AO,75.83,broken clouds,-8.8368,13.2343,Hotel Fórum
173,Nabire,ID,77.63,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
176,Vila Velha,BR,73.94,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
177,Makakilo City,US,79.68,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
179,Kaduna,NG,69.55,clear sky,10.5222,7.4383,HAMDALA HOTEL
182,Bangangte,CM,63.66,broken clouds,5.1409,10.5198,Hôtel Cristal Foua Ndigong
184,Sao Jose De Ribamar,BR,79.23,scattered clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
187,Panguna,PG,79.65,light rain,-6.3164,155.4848,
189,Quthing,LS,64.83,scattered clouds,-30.4,27.7003,Mountainside Hotel
192,Salinopolis,BR,77.58,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
193,Laguna,US,78.66,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
194,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
195,Bandarbeyla,SO,73.36,broken clouds,9.4942,50.8122,JABIR HOTEL
197,Phan Thiet,VN,75.69,overcast clouds,10.9333,108.1,Hotel Saigon-PT
199,Non Sang,TH,76.89,scattered clouds,16.8687,102.5664,Sabaidee@Home Nonsang
200,Bredasdorp,ZA,64.27,light rain,-34.5322,20.0403,Bredasdorp Country Manor
203,Saldanha,ZA,64.42,clear sky,-33.0117,17.9442,Blue Bay Lodge
204,Ancud,CL,60.33,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
205,Coari,BR,72.5,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
207,Taoudenni,ML,65.64,clear sky,22.6783,-3.9836,
210,Lahij,YE,68.04,few clouds,13.1667,44.5833,
213,Harper,LR,78.91,broken clouds,4.375,-7.7169,Screensaver
215,San Quintin,MX,67.44,few clouds,30.4833,-115.95,Don Eddie's Landing
216,Baleshwar,IN,64.89,clear sky,21.4942,86.9317,Banjara Hotels Pvt Ltd
218,Mildura,AU,68.07,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
219,Dicabisagan,PH,76.73,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
226,Salalah,OM,65.59,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
227,Warrnambool,AU,68.81,broken clouds,-38.3833,142.4833,Lady Bay Resort
228,Esperance,AU,67.6,few clouds,-33.8667,121.9,Hospitality Esperance
231,Camana,PE,70.72,few clouds,-16.6228,-72.7111,Hostal Morales
232,Atalaia,BR,75.94,scattered clouds,-9.5019,-36.0228,Casa Rural
234,Chabahar,IR,68.4,clear sky,25.2919,60.643,هتل گدروشیا
236,Watsa,CD,66.24,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
238,Cabo San Lucas,MX,76.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
240,Axim,GH,77.67,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
241,Miraflores,MX,65.03,few clouds,19.2167,-98.8083,Hotel Mansión
243,Savannakhet,LA,67.42,scattered clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
245,Tessalit,ML,65.39,clear sky,20.1986,1.0114,
251,Bitkine,TD,66.2,clear sky,11.9801,18.2138,
254,Ilebo,CD,71.65,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
256,Opuwo,,66.49,moderate rain,-18.0607,13.84,ABBA Guesthouse
257,Santa Lucia,ES,69.76,clear sky,27.9117,-15.5407,Las Tirajanas
258,Domoni,KM,79.02,light rain,-12.2569,44.5319,Al Djadid
259,Kruisfontein,ZA,61.25,clear sky,-34.0033,24.7314,Oyster Bay House Rental
260,Hat Yai,TH,75.38,few clouds,7.0084,100.4767,New Season Hotel
261,Davila,PH,77.56,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
262,Necochea,AR,72.03,few clouds,-38.5473,-58.7368,dyd -mar Hotel
